CasoPeorBurbujaNormal;CasoMedioBurbujaNormal;CasoMejorBurbujaNormal;CasoPeorSeleccionDirectaNormal;CasoMedioSeleccionDirectaNormal;CasoMejorSeleccionDirectaNormal;CasoPeorMezclaNormal;CasoMedioMezclaNormal;CasoMejorMezclaNormal;CasoPeorBurbujaVolatile;CasoMedioBurbujaVolatile;CasoMejorBurbujaVolatile;CasoPeorSeleccionDirectaVolatile;CasoMedioSeleccionDirectaVolatile;CasoMejorSeleccionDirectaVolatile;CasoPeorMezclaVolatile;CasoMedioMezclaVolatile;CasoMejorMezclaVolatile;
   39000;   32800;    8400;   46700;   23700;   20700;    8600;    7800;    3800;   62400;   31000;    5000;   31500;   23700;   22000;    8300;    7800;    6500;
   40200;   34300;    8300;   44100;   23500;   19700;    8500;    9100;    3800;   65600;   26700;    4900;   32300;   22700;   22100;    8900;    7800;    6300;
   42800;   33500;    8200;   44300;   24100;   21400;    9300;    7900;    3700;   63100;   28300;    4900;   33000;   24300;   22400;    8800;    7800;    6300;
   40300;   34100;    8400;   48700;   22800;   20100;    8600;    8700;    3900;   90500;   31500;    4900;   34200;   24300;   22500;    8600;    9400;    8200;
   40000;   34100;    8700;   46400;   24200;   21600;    8900;    8300;    3900;   66400;   30100;    5200;   34000;   23000;   26500;    8900;    7900;    6400;
   40000;   33900;    9000;   44900;   24600;   21000;    9000;    9000;    3800;   58500;   29500;    5200;   33500;   24800;   23400;    8800;    7800;    6500;
   41100;   34500;    9000;   45200;   23900;   22400;    9100;    8800;    3900;   56300;   29200;    5200;   33900;   24000;   23400;    8900;    7500;    6600;
   41300;   31300;    9000;   45800;   25400;   21300;    9200;    9500;    4600;   55800;   31900;    5300;   33700;   27000;   24000;    9100;    9200;    6600;
   47300;   32500;    8600;   46100;   25800;   22700;    9400;    8700;    4000;   55500;   31000;    5300;   35000;   31000;   24300;    9200;    8400;    5700;
   65100;   29800;    8800;   46600;   26000;   21900;    9100;    9200;    4200;   55700;   31900;    5400;   36000;   24800;   24400;    9300;   12000;    7900;
   72700;   31600;    8600;   46000;   24900;   23400;    9700;    8400;    4100;   56600;   35300;   34000;   36100;   27300;   24700;    9300;    8000;    6500;
   70600;   33400;    9300;   46300;   28500;   22200;    9600;    9000;    4100;   60600;   30600;    6600;   78100;   25400;   24600;   12200;    8200;    6600;
   45900;   30700;    9200;   47200;   26900;   24400;    9400;    9200;    4300;   57300;   32700;    6700;   64800;   26600;   25500;   13200;    8600;    6600;
   44300;   33500;    9200;   47500;   25800;   22800;    9700;   11700;    4100;   57000;   34300;    6800;   66100;   26200;   25500;    9700;    8100;    6600;
   43900;   32600;    9500;   48300;   26600;   24300;   10200;    9400;    4200;   57300;   36400;    6800;   64600;   26200;   25700;   10200;    9600;    8300;
   44500;   31700;    9400;   47800;   27500;   23300;   12200;   10500;    4100;   59700;   32900;    7000;   56100;   27500;   26100;    9400;    8100;    6700;
   44500;   33300;   10600;   57700;   27500;   24800;   15200;    8900;    4200;   58600;   31900;    7000;   49800;   27900;   26500;    9400;    8900;    6700;
   45600;   34700;    9600;   54100;   27900;   25200;   16000;    9500;    4300;   58000;   31900;    7000;   48600;   28200;   26800;   12100;    8300;    7000;
   46300;   33000;    9800;   48800;   27400;   24100;    9200;   10000;    4200;   60500;   32100;    7100;   49600;   27100;   30300;   11200;    8200;    6600;
   46300;   35200;    9800;   50200;   28800;   25700;   10400;    9000;    4200;   58800;   33400;    7100;   49800;   28600;   27400;   11800;    8400;    9000;
   47500;   34700;    9700;   49700;   31000;   24700;    9600;    8900;    4100;   59800;   33700;    7300;   49100;   28900;   25100;    9700;    8300;    6700;
   47300;   34400;    9800;   49100;   29400;   26200;   10000;   10600;    4200;   65000;   35600;    7500;   49500;   29600;   29200;   10000;   11200;    7100;
   53100;   35800;   10700;   55000;   29200;   26800;    9600;   10000;    4300;   72900;   35600;    7500;   49600;   29700;   28600;    9400;    9600;    6600;
   49700;   35800;   10400;   53600;   28400;   25700;   10000;    9400;    4600;   69100;   36100;    7500;   49700;   28500;   29000;   10100;    8400;    8700;
   49900;   35300;   10600;   57600;   28500;   27400;   10000;   11100;    4300;   59800;   35700;    7700;   59500;   30500;   28700;   10200;    9200;    8300;
   49400;   43300;    9900;   53200;   30700;   26200;   10200;    9400;    4600;   61100;   35000;    7700;   51500;   30900;   29900;   10200;    8900;    7600;
   91800;   47500;   10300;   53000;   30600;   27500;    9700;   11600;    4600;   59600;   37700;    7800;   51100;   31200;   31000;    9700;    9300;    6900;
   81800;   42900;   10700;   54000;   30600;   27800;    9800;   10400;    4700;   58300;   39200;    7900;   51400;   31200;   30100;    9900;    9700;    7400;
   69400;   43200;   10800;   52900;   31100;   27100;   10100;    9500;    4600;   58300;   38400;    7900;   52200;   30000;   30300;   10300;    9100;    7300;
   65000;   42300;   10200;   83400;   31600;   28800;    9800;    8700;    4800;   58300;   40700;    7900;   54800;   29700;   30700;    9900;   12300;   12600;
   60100;   44500;   11000;   73300;   31700;   29500;   10100;    9600;    4600;   59100;   39900;    8000;   54100;   31800;   30900;   10500;    9000;    7000;
   60000;   44400;   11100;   62400;   32300;   29700;   10300;    9200;    4600;   59300;   41900;    8000;   55300;   32700;   31400;   14200;    8600;    7900;
   74200;   46700;   10900;   67900;   35900;   31700;   10300;    8500;    5100;   59500;   38100;    8100;   54500;   32400;   31200;   10500;    9300;    7100;
   69000;   45100;   11000;   54700;   33100;   32700;   10900;    9300;    7700;   59100;   37500;    8100;   53500;   34600;   31800;   15800;    9400;    7800;
   62100;   44700;   11400;   54200;   33700;   32400;   10500;    8900;    8100;   59500;   40900;    8200;   53800;   32600;   32200;   10400;   11000;    8800;
   61000;   47800;   11400;   53900;   33400;   33500;   10400;    9500;    6700;   62300;   39700;    8300;   53100;   33400;   34900;   10800;   10200;    7500;
   63800;   44900;   11200;   53800;   34000;   32200;   10500;   20800;    5100;   73100;   43600;    8400;   60600;   34000;   29600;   10400;   11400;    8300;
   79800;   48600;   11700;   54700;   34700;   29600;   10500;    9700;    4900;  108300;   40100;    8500;   63600;   34100;   33600;   10600;   15100;    7400;
   83700;   49000;   11600;   54100;   34300;   30900;   10900;    8900;    5100;   91300;   39400;   25000;   56300;   42600;   30600;   10700;   11400;    7700;
   76400;   50200;   11600;   54100;   35400;   31500;   10700;    9600;    5000;  130100;   43300;    8500;   54800;   35000;   33200;   10800;   10300;    9700;
   66800;   49300;   11800;   58300;   35600;   31600;   10700;   11500;    4700;   91400;   40200;    8700;   56100;   35200;   34200;   10700;   11900;    7300;
   71200;   50000;   12000;   72500;   35600;   33000;   10800;    9600;    7200;   85100;   45400;    8800;   59400;   35500;   33900;   11000;   11300;    7300;
   62900;   49000;   11900;   75400;   35800;   34200;   10800;    9300;    4700;   85600;   40900;    7100;   57800;   36000;   33700;   11400;   10800;    8200;
   68000;   49900;   12100;   62000;   34400;   31400;   11400;    9700;    5100;   86700;   44000;    7300;   55900;   35400;   35100;   10900;   10200;   10200;
   63200;   50900;   12000;   56200;   37100;   32700;   10900;   10300;    5600;   86700;   43000;    7500;   56700;   36400;   34900;   11100;    9900;    8200;
   61900;   52700;   12200;   62000;   36300;   33100;   11300;   12400;    4900;   85100;   42600;    7600;   56800;   36700;   35900;   11100;   10600;    7300;
   62200;   52200;   12100;   57500;   37400;   33500;   11500;    9400;    5200;   86400;   43900;    9100;   57900;   36500;   36600;   11300;   10000;    7600;
   62900;   50000;   12700;   61000;   37600;   34000;   11300;   12500;    5000;   79900;   44900;    8200;   66300;   37500;   35900;   13800;   11700;    8300;
   71300;   52800;   12500;   37900;   37500;   33000;   11300;   10300;    5100;   90900;   46100;    7500;   61500;   38000;   35600;   11600;    8900;    9900;
   64900;   52100;   12700;   35400;   38700;   34700;   11500;   10200;    7200;   84700;   45900;    7600;   59000;   38200;   37400;   11100;   10500;    8400;
   67300;   53100;   13100;   35200;   38200;   35300;   11400;   12100;    7600;   22200;   47500;    7600;   59700;   38700;   36100;   11200;   10000;    8400;
   79300;   53100;   13400;   35700;   39200;   35100;   11300;   10800;    9100;   22100;   46100;    7700;   60100;   37800;   36900;   11400;   12100;    8400;
   65400;   54700;   13200;   38300;   39200;   35300;   11900;   11500;    8600;   21800;   48900;    7900;   59200;   39200;   35600;   11500;   11900;   10500;
   65200;   53100;   13200;   38600;   38800;   35800;   12200;   10900;    9300;   21900;   45500;    7800;   59200;   38800;   38700;   11400;   11800;    8300;
   70800;   49300;   13800;   39000;   40000;   36100;   11500;   13600;    5000;   20900;   46000;    7900;   59100;   39300;   47700;   12100;   10500;    7800;
   80200;   53200;   13100;   36800;   40900;   36700;   11900;   10100;    5300;   20500;   47200;    7900;   60600;   39800;   38800;   11700;    9800;    7800;
   96600;   57100;   13800;   36200;   40600;   37500;   11500;   10100;    5600;   23700;   51900;    8000;   62200;   40200;   39700;   11700;   11400;    9900;
   82400;   55900;   14100;   37800;   40800;   37000;   11900;   10800;    5600;   22100;   48000;    8100;   62100;   41000;   39300;   11900;   11300;    7400;
   77500;   56900;   13700;   38300;   41900;   37400;   12500;   11600;    5200;   21000;   47700;    8200;   64900;   40300;   39300;   12500;   10400;    8800;
   22700;   56700;   13500;   38400;   41700;   37100;   12300;   13100;    5300;   22900;   49400;    8300;   64400;   43400;   37500;   11900;   10400;    9500;
   24600;   56500;   14000;   38700;   44200;   39200;   12300;   11900;    5400;   23200;   53500;    8400;   63900;   41500;   39000;   12400;   11900;    9700;
   21800;   58700;   14700;   39000;   42300;   38500;   11600;   11300;    5200;   21700;   48500;   10300;   63100;   41500;   41000;   11500;   10600;    8900;
   21800;   57600;   14500;   40500;   42400;   41400;   12500;   11800;    5200;   23900;   53600;   10400;   42000;   52700;   41200;   12100;   10700;    8500;
   23700;   58600;   14700;   39800;   42300;   39300;   12300;   11100;    5500;   22000;   51300;   10400;   41900;   41800;   40000;   12100;   10400;    8700;
   24200;   60900;   14500;   40000;   43500;   41100;   12800;   10600;    5300;   24000;   51300;   29500;   40400;   43200;   39400;   12300;   11700;    8600;
   28100;   59800;   14700;   40600;   54900;   40000;   12100;   11300;    5300;   24100;   51500;    8800;   41100;   44300;   39600;   12300;   13600;   10000;
   24400;   59600;   14900;   42700;   43900;   40400;   11900;   12100;    5400;   23000;   49800;    8700;   40700;   44500;   40100;   13600;   13100;    9000;
   25200;   61200;   14800;   41600;   51900;   40700;   12700;   10500;    8200;   22900;   54300;    8900;   41000;   44000;   40500;   12900;   15000;    8700;
   26100;   58800;   15000;   41900;   50000;   41000;   12400;   10600;    5300;   24900;   53800;   10800;   41500;   45400;   40700;   12400;   19900;    9000;
   23800;   63200;   14700;   42300;   44900;   42000;   12900;   11000;    5400;   23300;   53500;   34700;   41900;   46100;   41100;   12600;   16800;   10500;
   23500;   61100;   15200;   42500;   52500;   41800;   12100;   18000;    5500;   23600;   54800;   12000;   42400;   45300;   41500;   11900;   14500;    9300;
   25200;   62600;   15400;   44400;   45500;   42400;   13300;   10600;    5700;   25500;   56300;   11800;   42800;   45600;   41700;   12700;   10800;    9300;
   23800;   60800;   15000;   43700;   48600;   43800;   12600;   11200;    5700;   25300;   54100;   11800;   43500;   47800;   42200;   12700;   16300;    9700;
   24000;   63200;   15000;   43600;   46500;   42900;   13100;   11500;    5500;   25700;   55400;   11900;   45000;   46100;   44400;   12800;   10600;   10400;
   24300;   64500;   15500;   43700;   49700;   43100;   12700;   12400;    5500;   26800;   54400;   12300;   44200;   48300;   43500;   12200;   11200;    8800;
   25700;   66000;   15700;   44500;   47200;   43700;   13100;   10800;    5700;   25600;   58600;    9300;   44400;   46800;   44400;   12900;   10700;    9000;
   25400;   67500;   16400;   46200;   47400;   44200;   13400;   11800;    5600;   25800;   57600;    9400;   45100;   47100;   43700;   12700;   12000;    8900;
   25200;   65000;   15700;   45500;   49500;   44100;   19700;   11100;    5900;   25900;   58700;    9600;   45300;   48500;   44200;   13000;   10700;   10200;
   27400;   64600;   16000;   45900;   48300;   44500;   13400;   12600;    5900;   26400;   64300;    9800;   45800;   48600;   45200;   12900;   12100;    9200;
   25400;   65600;   15500;   47700;   48200;   45700;   14600;   10900;    5900;   27100;   57600;    9800;   47400;   47900;   44900;   13500;   14700;    8900;
   25500;   68100;   16000;   46700;   49400;   46400;   13000;   11300;    5700;   26600;   56300;    9900;   45900;   50300;   47100;   13300;   13400;    9500;
   25800;   69100;   16100;   47700;   51200;   47500;   13800;   13400;    5500;   28100;   58900;    9800;   46500;   49200;   45700;   15200;   11300;   10400;
   28100;   68600;   16300;   46800;   49500;   46200;   13300;   11900;    6000;   27700;   57200;    9800;   48400;   57400;   46500;   14700;   13000;    9300;
   26100;   70900;   16400;   46800;   50200;   46600;   13300;   11200;    5700;   27900;   59300;    9800;   47500;   51300;   46800;   17900;   11300;    9200;
   28300;   67700;   22400;   47200;   50800;   46800;   13100;   11500;    5900;   26400;   60500;    9900;   47500;   50400;   46700;   13000;   18900;   11700;
   27800;   67500;   16000;   50600;   51800;   48800;   13500;   14600;    5800;   28900;   59700;   10000;   47600;   51200;   48500;   13200;   11900;    9500;
   28400;   68800;   16600;   49100;   51500;   48700;   13800;   13800;    5800;   26900;   65600;   10100;   49600;   52300;   47700;   14700;   11200;   10600;
   29000;   69700;   16800;   49000;   51800;   49200;   13600;   11700;    6000;   27100;   58800;   10200;   48800;   51900;   48100;   16500;   13700;   10700;
   28800;   73000;   17400;   49300;   54300;   48300;   16000;   16900;    6100;   28500;   60900;   10300;   48900;   54100;   48500;   13400;   15500;   12000;
   29400;   72100;   17700;   51200;   52700;   49900;   13700;   19400;    5900;   28500;   68500;   10300;   55500;   53100;   50000;   13900;   11200;   10300;
   30400;   71900;   17000;   55000;   53300;   49100;   13500;   12900;    6100;   28500;   62300;   10300;   49400;   54700;   49800;   13300;   12800;   10000;
   29600;   73300;   17600;   50000;   53500;   49700;   14300;   11900;    6100;   28100;   63100;   10400;   50000;   53400;   49900;   14700;   11600;   15400;
   29900;   75400;   17700;   50200;   68000;   50200;   14300;   14100;    6200;   29800;   67100;   10600;   51900;   54900;   50900;   14200;   13300;   14800;
   37500;   71800;   17600;   51900;   54800;   51300;   14200;   12600;    6300;   30800;   59400;   10800;   50900;   55200;   53500;   14100;   11700;   14800;
   30800;   72500;   17800;   51000;   57900;   51000;   13900;   13900;    6300;   39300;   61800;   10800;   51500;   56000;   52100;   13500;   18500;    9500;
   30900;   70300;   17800;   51500;   55300;   51600;   15200;   14600;    6100;   29900;   65800;   15000;   52600;   54200;   52300;   17900;   16000;    9700;
   29400;   73700;   18200;   55300;   56400;   52600;   14200;   12000;    6000;   31100;   63600;   16500;   52400;   56700;   52600;   17000;   12700;   14700;
   31800;   77200;   18100;   55300;   55600;   52900;   14100;   11700;    6200;   31700;   67600;   17500;   53100;   55800;   51600;   20200;   13100;   10500;
   29600;   76400;   18200;   54700;   57400;   53300;   14200;   13900;    6200;   31400;   67300;   17700;   58100;   57800;   54500;   21000;   12600;    9600;
   29700;   74900;   18800;   56400;   56200;   55000;   18100;   13100;    6400;   34500;   64100;   17800;   54000;   57700;   53800;   16900;   13500;   12200;
   32100;   79600;   18500;   56200;   61100;   53000;   14300;   13900;    6300;   33700;   65300;   17400;   53600;   61100;   55000;   17100;   12800;    9500;
   30300;   78300;   18600;   55800;   58400;   54500;   15600;   11600;    6300;   40200;   69400;   17500;   55100;   60000;   53600;   17300;   13800;   10600;
   30400;   78000;   18800;   54300;   58000;   54100;   15000;   12400;    6200;   32800;   64200;   97800;   55700;   58600;   54100;   16900;   14600;   10300;
   30700;   76000;   19200;   56500;   58800;   54200;   15200;   12200;    6400;   32200;   67500;   17800;   55300;   59800;   55500;   17600;   11800;   12100;
   32500;   78200;   19400;   57300;   59800;   55800;   14400;   13000;    6300;   32800;   68900;   18300;   56700;   60000;   55200;   18700;   13300;   10500;
   31200;   79200;   19400;   57300;   60000;   73100;   14600;   12600;    6300;   33400;   74300;   18400;   55500;   58600;   56200;   17800;   12500;   11200;
   33400;   75100;   19100;   57200;   64500;   59200;   15900;   13600;    6400;   33500;   67000;   17100;   57100;   61200;   55400;   18400;   12200;   11900;
   31800;   79400;   19600;   56300;   60100;   57400;   16200;   14100;    6700;   34200;   68800;   19200;   56100;   62800;   55700;   19100;   11800;   11200;
   33300;   80500;   19600;   58400;   60600;   56100;   15100;   13300;    6700;   34900;   74500;   18700;   57500;   61000;   60100;   21200;   17500;   10900;
   32100;   81900;   20500;   57200;   60800;   59000;   14400;   13700;    6400;   37400;   72200;   18300;   56800;   61400;   56500;   18600;   12100;   12100;
   33900;   79600;   19800;   58800;   62100;   56900;   15000;   12500;    6600;   35800;   72900;   19500;   58900;   62900;   58700;   18600;   12200;   10800;
   32600;   78100;   20400;   59100;   62500;   58300;   17700;   12500;    6700;   36700;   70900;   19200;   58300;   63000;   57200;   18400;   14100;   11200;
   32900;   80600;   19700;   58800;   61900;   58900;   15300;   12300;    6700;   35300;   73500;   18100;   60200;   63500;   58800;   20300;   12900;   10900;
   34400;   81500;   20900;   61300;   62600;   58200;   14600;   13800;    6400;   42700;   76000;   31400;   59900;   64000;   61200;   17800;   13100;   12300;
   34900;   84700;   20500;   62800;   63800;   59900;   15200;   13400;    6700;   35900;   69100;   22800;   60500;   63200;   61600;   18300;   15400;   10900;
   33500;   85300;   20600;   61500;   64400;   60000;   15200;   13800;    7400;   38200;   75200;   18400;   61900;   70200;   61100;   17700;   15800;   11500;
   35300;   86500;   20900;   61000;   64600;   60800;   14900;   15000;    6800;   39300;   74300;   42800;   60300;   64800;   68400;   18400;   13600;   11500;
   34100;   86300;   20900;   60400;   65100;   59800;   15000;   12800;    7000;   39600;   71100;  145200;   61600;   64800;   63700;   18200;   13000;   11900;
   35800;   82700;   21000;   61500;   66800;   61600;   15600;   13600;    6500;   36400;   76700;   25400;   61200;   66000;   64300;   18000;   14800;   11300;
   35100;   87000;   21200;   61100;   64200;   61000;   15300;   14400;    7000;   37200;   78800;   62500;   64800;   69200;   64500;   19900;   18500;   12800;
   36400;   87100;   21400;   63300;   66700;   62700;   15300;   13500;    6800;   37800;   80700;   21600;   62200;   67400;   65200;   18400;   14700;   11100;
   35700;   85100;   21200;   63300;   67800;   64000;   15500;   13400;    7000;   38000;   75700;   20200;   63700;   68200;   66500;   18700;   17200;   10800;
   36100;   88200;   21200;   63300;   69600;   62300;   16000;   17200;    6700;   38200;   77500;   20700;   63800;   66300;   70200;   20000;   17900;   11000;
   38100;   90800;   21300;   64500;   67600;   64700;   16200;   37600;    6800;   40300;   75400;   32800;   63300;   68100;   65100;   18900;   13700;   12800;
   36900;   89800;   21300;   64400;   68200;   64700;   21600;   15700;    6800;   38900;   75400;   18000;   66800;   68800;   62900;   19400;   16100;   12200;
   38700;   85900;   21900;   65100;   69500;   63800;   16900;   15500;    7000;   38200;   82800;   17300;   65000;   69400;   64400;   36500;   16500;   11300;
   36600;   82700;   22500;   64500;   69900;   65500;   15900;   14400;    6800;   38400;   82000;   26200;   64600;   69400;   65700;   43100;   14300;   12500;
   39200;   89100;   22400;   65900;   68900;   65100;   17000;   14400;    6900;   40400;   81300;   23100;   66300;   69400;   65800;   31600;   17000;   11500;
   37600;   89600;   22400;   66400;   69000;   66600;   15700;   14700;    6800;   39100;   80400;   21100;   66500;   70600;   66100;   33100;   13600;   11700;
   37200;   94200;   22500;   67900;   81700;   66700;   16100;   14100;    6900;   39300;   79700;   19600;   67200;   75600;   66400;   34300;   13900;   14100;
   39400;   92500;   22500;   67800;   71500;   67400;   15800;   14600;    6900;   39500;   78800;   21600;   68500;   70900;   67300;   30900;   15100;   11600;
   38400;   95600;   23700;   70000;   71400;   67600;   16400;   19500;    7000;   40200;   82600;   21000;   68700;   71500;   68000;   34700;   15500;   12100;
   41900;   91200;   22700;   70500;   71600;   68500;   16200;   17600;    7000;   40100;   83300;   13800;   67600;   72000;   67800;   35500;   13600;   12900;
   38200;   94000;   22800;   71600;   74200;   67500;   16400;   21500;    7200;   40500;   84100;   18700;   68900;   72700;   68300;   29300;   14100;   12500;
   38000;   92700;   22800;   72600;   72000;   68800;   16000;   21200;    7200;   40800;   93000;   18900;   69300;   74100;   68900;   28700;   15700;   11300;
   43900;   92300;   23700;   69300;   73000;   69400;   16600;   18700;    7100;   42200;   92000;   19500;   70000;   74100;   68500;   33300;   14200;   12600;
   39000;   93100;   23100;   69600;   74400;   72500;   16200;   15500;    7200;   43100;   99000;   19700;   71400;   74300;   69900;   36000;   14400;   11600;
   41200;   94900;   23500;   70200;   77100;   71200;   16300;   18000;    7100;   42400;   93200;   20400;   69600;   77700;   70500;   24900;   16300;   11800;
   41100;   98000;   24700;   71000;   76000;   71100;   16400;   14400;    7000;   46000;  101100;   21300;   71000;   74800;   70900;   21100;   15000;   13900;
   41300;   98500;   23700;   72000;   76200;   70000;   16800;   14200;    7500;   42300;  102300;   19900;   71500;   74900;   72400;   20900;   14600;   11500;
   40100;   97300;   23600;   71600;   75500;   71600;   17000;   15300;    7400;   43100;   99100;   20900;   71900;   76600;   71800;   20400;   15700;   11400;
   41900;   99800;   23700;   74000;   78200;   72000;   16300;   15000;    7300;   42800;  107600;   20800;   73400;   76900;   72600;   21000;   15200;   21700;
   40700;   98100;   24700;   74800;   76100;   72900;   16900;   16600;    7600;   42500;  100500;   20400;   73000;  177700;   74300;   24200;   15500;   12100;
   42300;   97500;   24100;  153300;   78700;   72900;   17000;   18900;    7400;   45300;  109600;   20500;   73700;   80900;   74800;   20500;   15500;   12000;
   41200;  102300;   24500;   75300;   77300;   74500;   17000;   15600;    7300;   43400;  106200;   21400;   74800;   81400;   74500;   21300;   14100;   13200;
   42800;  102400;   24700;   74300;   77900;   74100;   17200;   15000;    7200;   43900;  105800;   19900;   75200;   81800;   74900;   20900;   14700;   11600;
   41900;  101500;   24500;   77300;   81300;   74700;   17300;   17400;    7400;   44100;  104900;   20700;   74500;   81600;   76400;   22200;   16300;   12700;
   43900;  101300;   25000;   77100;   78800;   75400;   16700;   15400;    7900;   45000;  109400;   20000;   75500;   89500;   76200;   21600;   14700;   14100;
   42500;  104800;   25000;   75700;   80400;   75300;   17200;   13900;    7500;   45300;  107000;   20600;   77100;   82900;   76700;   25100;   14400;   12500;
   44300;  101600;   25700;   81500;   79700;   76500;   17300;   16200;    7500;   47700;  107600;   22500;   79100;   84200;   75800;   27100;   14000;   11900;
   42700;  106600;   25400;   79400;   82100;   76800;   17400;   15000;    7300;   45700;  103300;   21800;   77100;   82300;   77800;   25000;   15000;   12900;
   44500;  102100;   25200;   79900;   81600;   77600;   17400;   15100;    9300;   45600;  105600;   23000;   77200;   85300;   78300;   21300;   16500;   11800;
   43400;  102900;   25600;   83200;   81500;   77200;   17700;   19600;    7500;   46300;  106000;   23000;   77700;   86400;   77800;   23100;   16900;   12000;
   45000;  106400;   25700;   81500;   82600;   77700;   18100;   20100;    7700;   46500;  114300;   22800;   78400;   92800;   78100;   21900;   15000;   14000;
   44000;  103300;   26700;   85500;   83300;   78300;   18600;   28100;    7700;   47300;  104900;   23100;   79100;   83100;   79900;   24700;   18200;   12400;
   45500;  108100;   26000;   79900;   84200;   78800;   19700;   23300;    7600;   59000;  111500;   21300;   80400;   83300;   79700;   27300;   16800;   12300;
   45000;  108200;   26100;   79200;   83200;   80600;   22500;   21400;    7600;   54700;  109200;   23100;   79800;   84800;   80700;   23000;   17900;   13800;
   46300;  108100;   26600;   99400;   84400;   79700;   23600;   22400;    7600;   45300;  111500;   21500;   80800;   87800;   79900;   24700;   17500;   13200;
   45600;  112000;   26300;   83900;   86200;   81700;   18200;   23500;    7700;   47200;  113400;   22300;   82000;   87100;   80300;   22800;   16800;   12900;
   46900;  104300;   26800;   84200;   86500;   81200;   25400;   23100;    7700;   45300;  112500;   22300;   81700;   86400;   81400;   21500;   15300;   15100;
   47600;  110400;   26700;   84600;   86600;   81500;   20700;   21900;    8000;   48300;  112900;   31700;   81900;   86800;   82300;   21600;   17100;   12700;
   48600;  106100;   27000;   85200;   87800;   81600;   18100;   17200;    7700;   45900;  113400;   29300;   83000;   87700;   82400;   23600;   15600;   13200;
   49300;  110000;   27400;   85600;   88800;   85500;   17900;   15700;    7700;   54700;  112000;   28300;   83200;   86700;   83300;   22700;   15300;   16300;
   46900;  110200;   27000;   89600;   87300;   85000;   17800;   16500;    8200;   48000;  113700;   29600;   83500;  105200;   83500;   27400;   17300;   13900;
   46800;  107700;   27600;   88700;   97300;   83500;   18400;   16700;    8500;   46800;  117000;   26800;   84000;   88200;   84900;   22600;   15400;   15200;
   49500;  114700;   27500;  100700;  135700;   83700;   18100;   18900;   13200;   49000;  117300;   27100;   85300;   88800;   84100;   21500;   15700;   14000;
   48700;  111200;   28300;   88400;   89300;   84500;   18300;   19400;    8100;   47500;  117200;   26200;   85200;   89700;   85600;   24000;   16700;   17600;
   47900;  113600;   28500;   85000;   90000;   86200;   21600;   27000;    8000;   49100;  119000;   25900;   85000;   90100;   86300;   22700;   16700;   14300;
   49200;  129500;   27700;   86400;   92800;   85600;   27500;   19100;    7900;   48300;  116100;   26500;   87100;   90100;   86400;   24900;   18500;   13200;
   48300;  115700;   28300;   88900;  115100;   87200;   27500;   41800;    8500;   50100;  118000;   27000;   88400;   91500;   87000;   22100;   16300;   14300;
   50300;  112300;   29000;   88000;   89800;   87800;   27600;   23300;   10500;   57700;  116500;   29800;   92000;   90000;   88300;   22300;   16100;   15300;
   49000;  113600;   28600;   87400;  109000;   86700;   26200;   26000;    9300;   51900;  103000;   26300;   89200;   91600;   88500;   23900;   17500;   13500;
   51300;  111400;   29000;   87500;  109200;   87500;   31900;   23300;    7900;   51600;   97900;   28200;   87500;   93600;   87600;   22600;   16400;   16100;
   50800;  123800;   28500;   88900;   95000;   91300;   25000;   23900;    8200;   49400;  103400;   29500;   87900;  100400;   92900;   24800;   15700;   12800;
   49800;  120200;   29300;   88300;   96300;   88400;   26500;   28600;    8100;   53200;  105600;   30200;   89800;   93800;   89000;   22200;   19600;   12800;
   51700;  116900;   29100;   90100;   97100;   88600;   25200;   20500;    8000;   53900;  100400;   30600;   89400;   94900;   90400;   21800;   18900;   14900;
   50400;  116000;   28900;   94500;   95300;   92100;   27700;   25500;    8400;   50200;  106800;   29300;   91700;   94400;   89300;   23900;   19800;   13800;
   52000;  120100;   30000;   91400;   96900;   89900;   29800;   26200;   10300;   50100;  107100;   32200;   92600;   95700;   91300;   24600;   23000;   13700;
   52400;  123000;   29700;   90800;   96100;   92800;   28400;   27300;   10200;   51600;  104700;   29900;   91900;  108900;   90800;   22600;   20100;   14700;
   53100;  119500;   30200;   95400;   99500;   93000;   29400;   29900;    9100;   53700;  104900;   30700;   90900;  240000;   92900;   22800;   26900;   13500;
   53100;  122700;   30000;   94600;   97900;   91700;   21700;   25200;    8600;   51600;  106500;   30100;   97600;  135800;   93200;   24600;   23000;   14800;
   52000;  112300;   30100;   92100;   97600;   93400;   20100;   28400;    8400;   53400;  104700;   25300;   92700;  140200;   92500;   26200;   22600;   13900;
   53700;  116300;   30800;   94900;   99300;   93600;   19100;   22000;    8200;   52200;  109400;   30000;   93900;  101400;   93700;   24100;   27200;   13000;
   52600;  122700;   30800;   94000;  101500;   94100;   19400;   25200;    8200;   54000;  107200;   26500;   93600;  102100;   96100;   22900;   22400;   15100;
   54400;  135700;   30600;   94900;  101900;   96300;   20300;   27800;    8700;   55600;  112200;   25200;   95300;  128500;   94000;   23300;   27000;   15000;
   53500;  115900;   31400;   96600;  100600;   93700;   21000;   26900;    8300;   54900;  111300;   26100;   96200;  100000;   95200;   31300;   23700;   13600;
   53500;  110200;   30300;   97400;  103200;   96100;   19000;   24700;    8400;   56300;  108700;   19300;   96000;  101800;   94600;   22900;   22600;   13400;
